district,year,institute_id,institute_name,program,gender,enrolled
Rourkela,2023,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Chilika Vocational College,Fitter,Other,1776
Bhuvaneshwar,2022,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Cuttack Vocational College,Electrician,Male,--
Bhubaneswar,2024,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Cuttack Skills Center,Data Entry,Male,13
Sambalpur,2016,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Utkal ITI,Electrician,Other,1640
Sambalpur,2023,7412b293-4729-4739-a14f-f3d719db3ad0,Bhubaneshwar Training Institute,Data Entry,Female,2437
Sambalpur,2016,29a3b2e9-5d65-4441-9588-42dea2bc372f,Kalinga Vocational College,Welder,Female,220
Cuttack,2015,ab9099a4-35a2-40ae-9af3-05535ec42e08,Konark ITI,Electrician,Male,1279
Puri,2021,aefcfad8-efc8-4849-b3aa-7efe4458a885,Bhubaneshwar ITI,Mechanic,Male,48
Bhubaneswar,2023,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Utkal Technical Institute,Fitter,Male,2489
Sambalpur,2021,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Utkal Skills Center,Mechanic,Male,1586
Rourkela,2021,451b4cf3-6123-4df7-b656-af7229d4beef,Cuttack Vocational College,Fitter,Male,161
Rurkela,2023,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Utkal ITI,Electrician,Male,NaN
Bhubaneswar,2023,5304317f-af42-412f-b838-b3268e944239,Kalinga Skills Center,Electrician,Other,1463
Cuttack,2024,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Jagannath Training Institute,Data Entry,Male,--
Rourkela,2018,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Barabati Skills Center,Welder,Female,1728
Bhuvaneshwar,2016,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Utkal Vocational College,Data Entry,Other,NaN
Purry,2019,9132b63e-f162-47e4-a9c3-49e03602f8ac,Bhubaneshwar ITI,Electrician,Male,NaN
Sambhalpur,2023,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Odisha Training Institute,Data Entry,Male,293
Puri,2019,e27a984d-6548-41d0-bfcd-9eb1a7cad415,Kalinga Technical Institute,Data Entry,Male,NaN
Bhuvaneshwar,2018,24933b83-7577-40a9-a491-f0b2ea1fca65,Odisha Training Institute,Mechanic,Female,878
Rourkela,2015,beb79919-3f22-4af8-a3be-d01d43cf2fde,Utkal ITI,Fitter,Other,1161
Purry,2021,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Cuttack Technical Institute,Electrician,Male,86
Bhuvaneshwar,2024,956269f0-e5d7-4875-adad-d6c795a76d79,Cuttack Skills Center,Mechanic,Male,--
Bhubaneswar,2020,ff50bde4-3825-47b8-9cab-cc97663f1c97,Jagannath Skills Center,Electrician,Female,NaN
Sambalpur,2017,7e570ddf-8270-40a8-a369-b584ff5e9ff0,Bhubaneshwar Vocational College,Electrician,Male,NaN
Rourkela,2017,dc713d96-0c0f-4195-817a-f08a1745d6d8,Kalinga Vocational College,Electrician,Female,1317
Bhuvaneshwar,2019,28f49481-a0a0-4dc4-a720-9bdf1c11f735,Jagannath Skills Center,Electrician,Other,--
Rourkela,2016,98ae4334-6c12-4ce8-ae34-0454cac5b68c,Odisha ITI,Data Entry,Female,284
Cuttack,2019,988c24c9-61b1-4d22-a280-1c4510435a10,Bhubaneshwar Training Institute,Welder,Male,2943
Bhuvaneshwar,2020,405cacec-8774-49a9-b7d2-1e02ff01cf99,Konark Training Institute,Data Entry,Male,NaN
Rourkela,2015,f143262f-dc5c-4eed-8da0-365bf89897b9,Konark Technical Institute,Data Entry,Other,1991
Cuttack,2020,1d53434b-b881-49b9-ae27-0da702f06b90,Chilika ITI,Electrician,Other,--
Cuttackh,2020,c0398710-8976-4334-a281-7efdae849217,Konark ITI,Data Entry,Male,2222
Puri,2024,5715bd6f-a416-4293-84c2-e2e3444ea7c8,Chilika ITI,Mechanic,Other,--
Sambalpur,2021,287d06ca-6f4c-469a-8b22-d3081c8eaee9,Chilika Training Institute,Welder,Female,NaN
Purry,2022,b8db0672-f42d-47cc-80d4-af5974273ca3,Bhubaneshwar Technical Institute,Welder,Other,NaN
Rourkela,2018,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Jagannath Skills Center,Electrician,Male,135
Sambhalpur,2021,81f76d1c-2dbc-4134-830f-f46e8026695f,Chilika Skills Center,Mechanic,Female,NaN
Bhubaneswar,2016,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Konark Skills Center,Fitter,Other,275
Purry,2018,81f631d4-a392-41a7-9777-a4774c66e0a8,Kalinga Vocational College,Fitter,Female,--
Sambhalpur,2024,5fb8d16c-2720-497d-b2eb-d6899be578c7,Cuttack Vocational College,Data Entry,Female,2444
Rourkela,2018,f4188f3f-8a14-4e62-a95b-4715c333e861,Odisha Training Institute,Mechanic,Other,1624
Cuttack,2019,eb2263dd-87c5-421e-ac24-a3c5c754108f,Jagannath ITI,Welder,Female,NaN
Puri,2018,7d154385-52fb-443b-9954-6eb400257ad1,Konark Skills Center,Fitter,Male,--
Purry,2022,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Konark Technical Institute,Fitter,Female,209
Rurkela,2021,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Nilachal Technical Institute,Welder,Female,NaN
Sambhalpur,2018,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Odisha Vocational College,Mechanic,Male,1876
Puri,2022,14296c07-f26b-4776-913e-4de2e0c53cb8,Bhubaneshwar Training Institute,Data Entry,Male,211
Cuttack,2021,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Bhubaneshwar Vocational College,Fitter,Male,--
Sambalpur,2022,885f6e66-c2b6-42c5-ba5d-310011b7e948,Barabati ITI,Mechanic,Female,225
Sambhalpur,2015,a8e56e0c-20de-435d-a031-d750c40db9b4,Cuttack Technical Institute,Welder,Male,45
Sambalpur,2018,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Utkal Training Institute,Fitter,Male,74
Rurkela,2018,9b49bd26-df57-459a-8715-a10343dac043,Nilachal ITI,Welder,Male,--
Cuttack,2024,edcd465e-3638-4821-b6e0-7cc06c52c49f,Utkal ITI,Data Entry,Other,NaN
Cuttack,2024,b09b2a5c-badc-432a-8159-0f538a0f4efb,Jagannath Technical Institute,Welder,Other,71
Bhuvaneshwar,2023,66245bfa-4fcc-439a-b683-d2e6337ea2df,Konark ITI,Electrician,Other,551
Sambhalpur,2016,5f987c71-a65e-488e-abf3-ad39fec21bbe,Konark ITI,Mechanic,Other,NaN
Purry,2019,7394988f-847f-49b4-a64d-1bcb702753a1,Chilika Training Institute,Mechanic,Female,--
Bhuvaneshwar,2018,1064005c-3985-43cf-bf76-be1d1efa2197,Kalinga ITI,Mechanic,Male,2834
Bhuvaneshwar,2015,8dcdcd03-969b-4662-8562-8059568cc69b,Nilachal ITI,Fitter,Female,--
Bhuvaneshwar,2019,01d74256-3860-4ab6-96a4-02f23ae8cc93,Chilika ITI,Data Entry,Male,274
Sambalpur,2021,0f1259e0-a18f-46b6-b535-106e122c9a56,Nilachal Training Institute,Fitter,Other,2510
Bhubaneswar,2016,080aadfb-e7c9-4b26-9141-25c63a9bedd4,Odisha Skills Center,Mechanic,Other,--
Sambhalpur,2023,839fbc50-1223-4513-9496-f63cdc1110c1,Cuttack ITI,Mechanic,Other,--
Sambhalpur,2019,7c441fe7-ab42-40a7-874a-493b3ceddf2d,Odisha ITI,Fitter,Male,108
Purry,2017,b92da22b-21df-406f-8a0b-3c3336d8393a,Jagannath Skills Center,Mechanic,Female,--
Cuttack,2018,93829b43-922f-415a-a1e3-db63ef7ddc76,Odisha Skills Center,Welder,Male,NaN
Rourkela,2015,7914c120-c8dc-419f-be35-11287900f7f9,Utkal Training Institute,Welder,Other,74
Bhubaneswar,2024,1825bc54-30be-445f-a835-14f2ceb81f9d,Odisha Vocational College,Mechanic,Female,184
Rourkela,2022,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Kalinga Technical Institute,Mechanic,Female,47
Puri,2017,dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Chilika ITI,Electrician,Male,2785
Rurkela,2024,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Chilika Skills Center,Data Entry,Female,--
Rurkela,2021,0f844fef-1931-49ee-a56c-0941fbf24050,Odisha Training Institute,Data Entry,Male,NaN
Rourkela,2016,ccf3a171-56dc-4907-ba6c-34ab6712303a,Bhubaneshwar Skills Center,Fitter,Other,48
Cuttackh,2022,310c0c00-3fa7-4104-9bf9-0e27dc96925e,Chilika Vocational College,Welder,Male,--
Sambhalpur,2016,23e2fcb4-72d8-467d-894a-05e430b187ef,Jagannath ITI,Data Entry,Other,111
Purry,2018,766ecb15-474e-4c19-aef9-12766c006f61,Bhubaneshwar ITI,Fitter,Male,--
Rurkela,2024,134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Odisha Vocational College,Electrician,Female,--
Purry,2023,db20a56e-dc81-4fe7-8eda-8bbb71710434,Nilachal Vocational College,Electrician,Other,--
Rurkela,2019,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Utkal Technical Institute,Fitter,Other,20
Puri,2022,03c72ba8-d605-4770-8a63-f881ffd0f9d5,Cuttack Vocational College,Welder,Male,233
Sambhalpur,2020,c0e9ab30-ed26-42e9-97e0-11b7f8102383,Konark ITI,Welder,Other,--
Cuttackh,2022,680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Odisha Vocational College,Data Entry,Male,--
Rourkela,2020,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Kalinga Vocational College,Data Entry,Male,2392
Bhubaneswar,2018,2a25a888-0f02-4ad0-a706-7ef466aa9385,Cuttack ITI,Data Entry,Female,NaN
Rourkela,2023,63f2ae24-fc3d-4348-808d-4127610461e3,Bhubaneshwar ITI,Mechanic,Other,258
Rurkela,2018,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Bhubaneshwar ITI,Data Entry,Male,292
Sambalpur,2016,b253d218-6c4a-47ea-8906-17f2747b6dba,Nilachal Technical Institute,Fitter,Female,--
Cuttackh,2022,c88a618e-fed4-457d-bb02-6576f512c4c3,Nilachal Skills Center,Mechanic,Other,NaN
Rurkela,2023,7c967f79-b7e9-4aca-a970-65e18e46d534,Bhubaneshwar Technical Institute,Welder,Female,--
Bhubaneswar,2019,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Odisha Training Institute,Data Entry,Other,1108
Purry,2022,bc594585-9445-48c0-8ef8-c2d6f7fd5646,Barabati ITI,Data Entry,Other,--
Sambalpur,2018,504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Chilika Vocational College,Fitter,Female,1803
Cuttackh,2021,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Bhubaneshwar Vocational College,Electrician,Male,--
Cuttack,2022,87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Kalinga Training Institute,Mechanic,Male,NaN
Cuttack,2022,82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Odisha ITI,Data Entry,Other,--
Purry,2021,118a9d29-2f92-4996-99f1-95d014822f53,Barabati Vocational College,Data Entry,Male,--
Sambalpur,2016,dca02eec-acda-4acc-9165-e21098543881,Konark Technical Institute,Electrician,Female,95
Bhubaneswar,2020,f10c718b-1eb0-438a-a75d-d5af3c365296,Utkal ITI,Welder,Female,NaN
Purry,2021,94340a03-3f07-4814-91d6-3f78e3e9de99,Chilika Skills Center,Fitter,Male,2996
Rurkela,2018,14fcdd54-9e8f-4965-8a2c-827e98326856,Nilachal Training Institute,Fitter,Male,1540
Rourkela,2015,90b2b633-956b-4c0c-a849-9b926b5252e3,Nilachal ITI,Data Entry,Male,--
Rurkela,2019,42c18a62-ef48-48d5-90fd-9d3f85d51695,Konark ITI,Mechanic,Female,2075
Cuttack,2018,506e5a9a-b758-488d-ab73-295b344a54b8,Konark Training Institute,Welder,Other,161
Cuttackh,2019,21813d25-6552-48a6-83ff-50113d1a85dd,Utkal Training Institute,Electrician,Other,NaN
Rurkela,2020,750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Jagannath Skills Center,Data Entry,Female,80
Rourkela,2022,ef8c485b-c07a-40f2-add4-253b50f0fd0a,Utkal Training Institute,Welder,Other,--
Bhuvaneshwar,2021,9f044aed-7552-4327-8262-7f7312922f83,Bhubaneshwar Skills Center,Fitter,Other,--
Puri,2019,19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Nilachal ITI,Welder,Male,NaN
Sambalpur,2021,8181a8cc-3691-47eb-89a2-688b12c136e0,Cuttack ITI,Electrician,Female,17
Sambhalpur,2020,5958a499-eeea-463e-a1e8-ac6843e42caf,Odisha Training Institute,Mechanic,Other,NaN
Sambhalpur,2015,3e896c64-e117-4ac3-919c-4ea3e1805081,Chilika Training Institute,Welder,Other,758
Rourkela,2021,702cdd20-2862-48b8-88f4-ef125e9953d2,Kalinga Skills Center,Electrician,Male,165
Cuttack,2018,4d71c366-b41b-4143-8b10-550cd5704f32,Cuttack Skills Center,Mechanic,Female,2712
Rurkela,2017,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Konark Technical Institute,Mechanic,Other,218
Bhuvaneshwar,2018,aaf91531-0200-41f0-8768-a84fa76afde6,Nilachal Vocational College,Fitter,Female,--
Bhubaneswar,2021,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Odisha Skills Center,Electrician,Female,56
Bhubaneswar,2020,e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Jagannath Skills Center,Data Entry,Male,NaN
Rurkela,2018,e3c43657-1d8c-4bac-83b4-09ef2260e70f,Jagannath ITI,Fitter,Other,NaN
Puri,2023,27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Odisha Skills Center,Electrician,Other,23
Bhuvaneshwar,2018,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Chilika ITI,Electrician,Male,NaN
Cuttackh,2023,afffcfd2-341e-440b-97c7-00aab7b56ea7,Kalinga Technical Institute,Mechanic,Female,195
Sambhalpur,2023,81627cf1-4394-42e6-9a58-7e8aa25d6b29,Jagannath Training Institute,Electrician,Other,1735
Bhubaneswar,2015,e87d1c78-e7c4-41c7-8049-7b717d106c60,Nilachal Vocational College,Mechanic,Other,2508
Cuttack,2016,a2607723-17a0-4f49-8d01-280fd89a40c0,Barabati Training Institute,Fitter,Male,--
Cuttackh,2024,0b49452d-46d4-43f3-9450-281c6c6f7633,Cuttack ITI,Mechanic,Other,230
Purry,2018,217d65a0-c568-41cd-9563-f61600e85ece,Konark Vocational College,Fitter,Female,2357
Cuttackh,2016,295d6fbf-430f-401d-bad4-09e2a319dcb4,Barabati Vocational College,Welder,Other,NaN
Sambhalpur,2016,b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Kalinga Technical Institute,Electrician,Female,NaN
Purry,2015,1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Chilika Training Institute,Data Entry,Female,--
Cuttackh,2015,b0e6a969-e213-42b0-b1ee-dba313432e61,Odisha Training Institute,Welder,Female,NaN
Puri,2022,093923de-8bab-4e3b-a628-6bfbe767dcea,Jagannath Technical Institute,Welder,Other,--
Rurkela,2018,8d7248e2-951f-48d0-9e84-f058d5a804eb,Konark Training Institute,Data Entry,Other,--
Bhubaneswar,2017,0ab54bde-20a0-4502-ae06-809725e97977,Odisha ITI,Welder,Female,NaN
Rurkela,2021,eededb07-e623-4689-9d59-cd2a4eea04e7,Kalinga Skills Center,Electrician,Male,1381
Cuttackh,2022,0a368ce7-dc57-4131-b8e1-daa7cbceabde,Barabati Skills Center,Welder,Female,176
Bhubaneswar,2017,ae9bec36-35c7-436c-9b99-62c6e61fecc0,Bhubaneshwar Training Institute,Electrician,Other,1614
Cuttackh,2022,5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Chilika Vocational College,Mechanic,Female,120
Bhuvaneshwar,2021,dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Kalinga ITI,Data Entry,Female,279
Sambalpur,2021,bfddc3d9-9ee3-4c2a-b94d-62046808593f,Chilika Technical Institute,Electrician,Male,NaN
Rourkela,2019,3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Barabati Technical Institute,Electrician,Female,NaN
Cuttackh,2023,ccc56569-f9e8-4369-a999-b735dd56cc94,Jagannath Training Institute,Data Entry,Other,795
Bhubaneswar,2021,698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Utkal Vocational College,Electrician,Female,2848
Cuttackh,2019,ecab3301-bc8f-4d29-adea-94930658663a,Kalinga Vocational College,Electrician,Female,--
Cuttack,2021,696608aa-ee49-4329-884a-7b28550a1b46,Kalinga Skills Center,Mechanic,Other,215
Cuttackh,2019,bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Barabati Skills Center,Welder,Male,49
Purry,2023,28c13091-444d-410b-bf87-e362cf8d446a,Jagannath ITI,Welder,Other,85
Puri,2019,61ee411a-1bac-47a7-b386-f7a4c991603f,Jagannath Skills Center,Data Entry,Male,1225
Sambhalpur,2024,787f2425-dbcc-4477-89e9-db0adf465290,Chilika Vocational College,Data Entry,Other,NaN
Sambhalpur,2016,eb1fa9f2-d10b-41d0-b317-347038f16a81,Nilachal Vocational College,Welder,Female,38
Rourkela,2022,d20eac17-4e20-4d1a-9983-36e375d66ed4,Nilachal Technical Institute,Electrician,Female,156
Rurkela,2024,39118497-3a43-42ba-9f0f-06cbcb9bc326,Cuttack Vocational College,Mechanic,Other,668
Rurkela,2018,6601ddd0-3170-4437-a8f7-ef5a060edf5b,Barabati Training Institute,Mechanic,Other,753
Cuttack,2020,11c58ef0-dd46-4c09-8752-87aa5408f9ac,Kalinga Training Institute,Fitter,Male,2293
Purry,2023,59e4b671-4774-4c58-85f8-bc16f7860b50,Chilika Skills Center,Welder,Female,2086
Bhuvaneshwar,2024,adf4e62d-6651-429e-8268-690ba43825b5,Utkal ITI,Electrician,Female,2785
Rourkela,2019,54c63cd8-8945-4f27-97fa-2d8dfb2ca025,Chilika Skills Center,Welder,Male,--
Cuttackh,2017,e08596db-1d87-4966-8710-d430f071d879,Chilika Technical Institute,Welder,Other,NaN
Purry,2016,94a1875d-2db6-4edb-82de-ffccf86c2ca2,Konark Training Institute,Welder,Male,NaN
Sambalpur,2020,09cb3942-43f5-4a85-bbc9-f87af668a617,Nilachal Skills Center,Fitter,Male,--
Cuttack,2023,587ef344-6f3f-420c-98b8-e4cc1bc044fc,Cuttack Training Institute,Electrician,Other,1036
Puri,2017,6fb78271-504d-481f-8953-5b63ba81edd9,Bhubaneshwar Training Institute,Fitter,Other,678
Bhuvaneshwar,2018,1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,Nilachal Training Institute,Welder,Other,NaN
Rourkela,2022,30a900ad-939b-462d-a645-f129629c2ae3,Jagannath ITI,Data Entry,Female,1654
Purry,2023,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Konark Skills Center,Fitter,Other,80
Sambhalpur,2020,ce777f00-ecf2-4e76-8519-7ff4006ed6e3,Cuttack Technical Institute,Data Entry,Male,NaN
Rourkela,2022,f0b5156b-b82c-4074-afd5-dea589d7fd6c,Cuttack Skills Center,Mechanic,Male,--
Bhubaneswar,2021,3270e4fa-abae-4f43-bcae-8081bdf070aa,Utkal Vocational College,Data Entry,Female,130
Bhuvaneshwar,2018,f2e9702d-11e9-4daa-ae69-81a35d3d9e56,Utkal ITI,Electrician,Other,NaN
Bhubaneswar,2019,9f871ce7-5487-4d4f-abb7-a385aa0b7b14,Nilachal Skills Center,Mechanic,Female,12
Rourkela,2018,1fe771d6-d917-4793-a9d3-c2e6505cc686,Bhubaneshwar Training Institute,Data Entry,Other,--
Sambalpur,2019,81d2c7de-4ce1-4b90-a669-7833b841d0a0,Kalinga Technical Institute,Fitter,Female,244
Sambhalpur,2024,5380b904-688c-4015-aab9-7e494f2d4796,Cuttack Technical Institute,Data Entry,Other,--
Cuttackh,2015,8dedf9fb-4bb0-4f20-b27c-40266703b636,Chilika ITI,Fitter,Other,223
Purry,2020,aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,Kalinga Training Institute,Data Entry,Other,269
Cuttackh,2022,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,Utkal Vocational College,Welder,Female,18
Bhuvaneshwar,2018,91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,Kalinga Training Institute,Welder,Male,--
Puri,2022,d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,Nilachal Skills Center,Fitter,Male,--
Sambalpur,2015,35ce8841-4973-4d6c-8dca-bfb7001a9a8b,Jagannath Technical Institute,Welder,Female,2131
Rourkela,2015,9b4e2c24-9479-41e6-8927-7d9b6e0d2648,Jagannath ITI,Welder,Male,179
Bhuvaneshwar,2021,7118e364-7709-4749-927e-ecfaa79ac9aa,Konark Vocational College,Mechanic,Female,2532
Bhuvaneshwar,2023,82dc4c8e-36b5-429a-acf5-e81e71316269,Odisha Technical Institute,Mechanic,Male,NaN
Purry,2019,f5b78cc7-e6b3-4944-8b32-3e357922bac2,Barabati Technical Institute,Electrician,Female,1755
Rurkela,2021,a8aa7158-2b70-4525-bc67-f831cbc84759,Bhubaneshwar Vocational College,Welder,Female,1944
Rourkela,2015,a9f25336-83f4-49a9-88a6-39d015b52908,Kalinga Vocational College,Welder,Other,NaN
Rurkela,2022,17e8392a-55ce-45db-9e87-e04ca2086977,Utkal Skills Center,Electrician,Male,1983
Rurkela,2015,3c20592f-c04a-46c4-b3b6-3fe1d1843324,Chilika Skills Center,Mechanic,Female,200
Rurkela,2017,ce7ae7f6-3982-4cff-8f77-a665ac3c5640,Cuttack ITI,Mechanic,Female,152
Bhubaneswar,2017,0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,Nilachal Training Institute,Mechanic,Other,--
Sambhalpur,2018,9c7c7377-79a2-4903-bbe3-3b243eae0032,Chilika ITI,Mechanic,Male,72
Sambhalpur,2017,74962764-12a4-4ef0-84bb-b7a9d98868dd,Nilachal Technical Institute,Welder,Other,--
Rourkela,2017,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,Bhubaneshwar ITI,Data Entry,Male,NaN
Sambalpur,2022,624c69b6-b244-45a7-b7e5-848131c681ec,Utkal ITI,Data Entry,Other,NaN
Rurkela,2016,25c73c44-3e75-43b4-a64f-a6637e8f8095,Kalinga ITI,Mechanic,Other,2653
Cuttackh,2024,e4855aa1-016b-4287-b008-05cca7f36ae9,Kalinga Skills Center,Welder,Other,2343
Purry,2020,e2add909-c521-4f2d-9c45-d539c03f3538,Bhubaneshwar Training Institute,Data Entry,Male,76
Cuttack,2023,3805f907-6cd6-4193-8746-8f591b494e15,Bhubaneshwar ITI,Fitter,Male,--
Purry,2019,b227462c-f53d-4330-8dda-24ba2d06e8cf,Kalinga ITI,Fitter,Other,NaN
Rourkela,2024,8eb22579-0cdb-4ca4-b6ec-bdd68498e113,Cuttack Technical Institute,Data Entry,Other,NaN
Puri,2024,1f115b76-d92c-4227-aadf-50853fcb7546,Chilika ITI,Data Entry,Male,24
Rurkela,2019,76f2dbfe-cd29-436f-a222-82e174daaebf,Jagannath Training Institute,Mechanic,Other,--
Rourkela,2022,8f15ba58-fce6-4504-87f8-424daae65fc1,Jagannath Vocational College,Welder,Female,NaN
Sambhalpur,2021,c1581092-f335-4ba3-913a-7052986f9025,Nilachal Vocational College,Fitter,Female,--
Bhuvaneshwar,2021,d0a44432-9cd6-4852-b14c-7df4e4347d51,Bhubaneshwar ITI,Data Entry,Other,NaN
Sambhalpur,2016,6d3ee1dc-8139-4443-a45b-712eb8225688,Odisha Vocational College,Fitter,Male,--
Cuttackh,2024,722764e6-8c41-461b-a827-a1b9d4a02e53,Konark Skills Center,Fitter,Female,NaN
Sambhalpur,2023,dc8aee30-be60-43f7-a8be-9288e5af6e39,Nilachal Vocational College,Welder,Female,868
Purry,2022,c074718e-425a-409f-b337-c59979844388,Jagannath Skills Center,Data Entry,Female,--
Sambhalpur,2024,46fde062-a33d-47af-9701-410d3f4b1a70,Nilachal ITI,Data Entry,Male,NaN
Rourkela,2020,7c0e8cd8-8573-4793-8715-b2b9c40c5d91,Konark ITI,Electrician,Female,NaN
Bhuvaneshwar,2023,709b7d97-464c-44af-bd3f-3799a07295e9,Odisha Technical Institute,Mechanic,Other,--
Rurkela,2024,3c07c574-4925-4af1-b6aa-e05b13d5f2f7,Kalinga Skills Center,Electrician,Female,--
Puri,2018,e49d681d-51d8-4c64-95fa-1ab8458f1f19,Chilika Training Institute,Mechanic,Other,30
Puri,2020,269cd696-236c-4b87-94a0-bccb8a476a87,Nilachal Training Institute,Mechanic,Male,--
Rurkela,2020,271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,Bhubaneshwar Vocational College,Data Entry,Other,--
Purry,2023,6a34c854-1071-4d51-b6c5-9dacb4d7e28e,Cuttack Vocational College,Data Entry,Female,--
Bhuvaneshwar,2016,7746d0ba-8ae8-405b-94b4-a48268586eba,Konark Training Institute,Welder,Other,2944
Rourkela,2024,d5385b0e-34f3-493c-8ff0-a55c6a702e2f,Chilika Skills Center,Electrician,Other,1198
Puri,2018,c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,Utkal Training Institute,Electrician,Male,--
Cuttackh,2017,05000bc6-b20d-4b6e-b231-1f1795863a76,Konark Skills Center,Mechanic,Other,NaN
